wikiStats|commons

redirects|5460
r|Template:Grandfathered|Template:Grandfathered old file
r|Template:North Americamontyear|Template:North Americamonthyear
r|Template:Swedneducationalinstitutionsphotoyear|Template:Swedeneducationalinstitutionsphotoyear
r|Template:Freedom of panorama|Template:FoP
r|Template:Jura|Template:Canton of Jura
r|Template:Redeye/zh|Template:Redeye/zh-hans
r|Template:No fair use/heading/pt|Template:No fair use/heading/pt-br
r|Template:ImageExtracted|Template:Image extracted
r|Template:Destruir|Template:Speedydelete
r|Template:PD Hubble|Template:PD-Hubble
r|Template:Motd/2011-10-28 thumbtime|Template:Motd/2014-10-28 thumbtime
r|Template:Noised|Template:CleanFFT
r|Template:PD-us-1923|Template:PD-1923
r|Template:Catdiffuse|Template:CatDiffuse
r|Template:PD/zh|Template:PD/zh-hans
r|Template:Wikipedia user checkuser|Template:User Wikipedia checkuser
r|Template:RegionAdjective/ca|Template:Nationality/ca
r|Template:Медиа|Template:Media
r|Template:User metawiki|Template:User Meta-Wiki
r|Template:PermissionOTRS pending|Template:OTRS pending
r|Template:To svg|Template:Convert to SVG
r|Template:Translate/sq|Template:Translate/i18n/sq
r|Template:User zh-yue-N|Template:User zh
r|Template:Tnull|Template:Tlc
r|Template:Req|Template:Request
r|Template:AHM|Template:Amsterdam Museum
r|Template:Move/de|Template:Move/i18n/de
r|Template:Supported by Wikimedia ES/mk|Template:Supported by Wikimedia España/mk
r|Template:PD-scan/zh|Template:PD-scan/zh-hans
r|Template:Bad EXIF date|Template:Bad metadata date
r|Template:Restriction-Layout/doc|Template:Style formatting template/doc
r|Template:Nobreasts (category version)|Template:Commons nudity
r|Template:تنبيه تحميل صور|Template:تنبيه رفع صور
r|Template:By region|Template:By region category
r|Template:User gl-N|Template:User gl
r|Template:FRW|Template:Frw
r|Template:PD-User-ru|Template:PD-user-ru
r|Template:CatalinCocirla|Template:CătălinCocîrlă
r|Template:Be-cc-by-sa-2.0|Template:Cc-by-sa-2.0-be
r|Template:Painting|Template:Artwork
r|Template:Convert/LoffAonDbSon2|Template:Convert/LoffAonDbSoff2
r|Template:NARA|Template:NARA-image
r|Template:User cv-N|Template:User cv
r|Template:UNPD|Template:PD-UN
r|Template:PD-PolishGov|Template:PD-Polishsymbol
r|Template:User nb-3|Template:User no-3
r|Template:Overlay/Image|Template:Overlay legend/Image
r|Template:Attribution-TurkishNavalForces/lang|Template:Attribution-TRGov-Military-Navy/lang
