wikiStats|vi

redirects|8831
r|Bản mẫu:Infobox Index|Bản mẫu:Hộp tin mục lục tài chính
r|Bản mẫu:Thiếu giấy phép|Bản mẫu:Xh-thiếu giấy phép
r|Bản mẫu:Danh sách xã, thị trấn thuộc huyện Phục Hoà|Bản mẫu:Danh sách xã, thị trấn thuộc huyện Phục Hòa
r|Bản mẫu:Country data Rumani|Bản mẫu:Country data România
r|Bản mẫu:FlowMention|Bản mẫu:Đề cập Flow
r|Bản mẫu:Protected|Bản mẫu:Khóa
r|Bản mẫu:Cần số trang|Bản mẫu:Số trang
r|Bản mẫu:Huyện Hà Trung|Bản mẫu:Danh sách xã, thị trấn thuộc huyện Hà Trung
r|Bản mẫu:Country data Wallis and Futuna|Bản mẫu:Country data Wallis và Futuna
r|Bản mẫu:Municipalities in Guadalajara|Bản mẫu:Đô thị ở Guadalajara
r|Bản mẫu:Hình chụp màn hình tivi|Bản mẫu:KTD-hình chụp màn hình ti vi
r|Bản mẫu:CMTV|Bản mẫu:Chào mừng thành viên mới
r|Bản mẫu:Sơ khai Bộ sếu|Bản mẫu:Sơ khai Bộ Sếu
r|Bản mẫu:Talk header|Bản mẫu:Thông báo thảo luận
r|Bản mẫu:KTD-Hình chụp tác phẩm nghệ thuật|Bản mẫu:KTD-nghệ thuật 3 chiều
r|Bản mẫu:Infobox German location|Bản mẫu:Thông tin địa danh Đức
r|Bản mẫu:Ykk|Bản mẫu:Ý kiến
r|Bản mẫu:Bằng sáng chế Mỹ|Bản mẫu:Bằng sáng chế của Mỹ
r|Bản mẫu:Infobox biography|Bản mẫu:Thông tin nhân vật
r|Bản mẫu:Chủ đề Nhật Bản (portal)|Bản mẫu:Chủ đề Nhật Bản
r|Bản mẫu:Sơ khai luật pháp|Bản mẫu:Sơ khai pháp luật
r|Bản mẫu:Infobox Broadcast|Bản mẫu:Thông tin phát sóng
r|Bản mẫu:Ue icon|Bản mẫu:Ua icon
r|Bản mẫu:Country data TCH|Bản mẫu:Country data Tiệp Khắc
r|Bản mẫu:Chính trị Russia|Bản mẫu:Chính trị Nga
r|Bản mẫu:PUR|Bản mẫu:PRI
r|Bản mẫu:Provinces of Iran|Bản mẫu:Tỉnh của Iran
r|Bản mẫu:DRCongo-stub|Bản mẫu:Sơ khai Cộng hòa Dân chủ Congo
r|Bản mẫu:Sơ khai hóa học hữu cơ|Bản mẫu:Organic-chem-stub
r|Bản mẫu:Red link|Bản mẫu:Liên kết đỏ
r|Bản mẫu:Current events header|Bản mẫu:Thanh đầu Thời sự
r|Bản mẫu:Thành viên nước Nhật|Bản mẫu:Thành viên văn hóa Nhật Bản
r|Bản mẫu:Country data KOR|Bản mẫu:Country data Hàn Quốc
r|Bản mẫu:Infobox colour|Bản mẫu:Thông tin màu
r|Bản mẫu:Decadebox|Bản mẫu:Hộp thập niên
r|Bản mẫu:Infobox person|Bản mẫu:Thông tin nhân vật
r|Bản mẫu:Sơ khai Cerambycidae|Bản mẫu:Sơ khai Họ Xén tóc
r|Bản mẫu:Cities and districts of Salzburg (state)|Bản mẫu:Salzburg
r|Bản mẫu:Mineral-stub|Bản mẫu:Sơ khai khoáng vật
r|Bản mẫu:Prime Ministers of the United Kingdom|Bản mẫu:Thủ tướng Anh Quốc
r|Bản mẫu:Convert/μtTNT|Bản mẫu:Convert/µtTNT
r|Bản mẫu:Email|Bản mẫu:No spam
r|Bản mẫu:Dịch cúm A/H1N1 năm 2009|Bản mẫu:Đại dịch cúm 2009
r|Bản mẫu:U.S. Belt regions|Bản mẫu:Các vành đai địa lý ở Hoa Kỳ
r|Bản mẫu:Động vật sắp tuyệt chủng ở Việt Nam|Bản mẫu:Động vật cấp E-Sách đỏ Việt Nam
r|Bản mẫu:Panicoideae-stub|Bản mẫu:Sơ khai Phân họ Kê
r|Bản mẫu:Sơ khai Uml|Bản mẫu:Uml-stub
r|Bản mẫu:Db-g8|Bản mẫu:Db-c8
r|Bản mẫu:Các huyện thị thuộc tỉnh Hải Dương|Bản mẫu:Các huyện thị Hải Dương
r|Bản mẫu:Bosna và Hercegovina-BD|Bản mẫu:Bosnia và Hercegovina-BD
r|Bản mẫu:Vigesimal|Bản mẫu:Nhị thập phân
r|Bản mẫu:Bài hát của Rihanna|Bản mẫu:Đĩa đơn của Rihanna
r|Bản mẫu:Plainlist|Bản mẫu:Liệt kê
r|Bản mẫu:Location map Haiti|Bản mẫu:Bản đồ định vị Haiti
r|Bản mẫu:Infobox animanga/Movie|Bản mẫu:Thông tin animanga/Video
r|Bản mẫu:Plantaginaceae-stub|Bản mẫu:Sơ khai Họ Mã đề
r|Bản mẫu:Coccinellidae-stub|Bản mẫu:Sơ khai Họ Bọ rùa
r|Bản mẫu:Bìa đĩa nhạc|Bản mẫu:KTD-bìa đĩa nhạc
r|Bản mẫu:Precision/21|Bản mẫu:Độ chính xác/21
r|Bản mẫu:Danh sách xã, thị trấn thuộc huyện Long Mỹ|Bản mẫu:Danh sách các đơn vị hành chính thuộc tỉnh Hậu Giang
r|Bản mẫu:Han River bridges|Bản mẫu:Cầu bắc qua sông Hán
r|Bản mẫu:Dec to frac/doc|Bản mẫu:Số thập phân thành phân số/doc
r|Bản mẫu:Link-no|Bản mẫu:Internal link helper/no
r|Bản mẫu:Germany squad UEFA Euro 2012|Bản mẫu:Đội hình Đức tham dự UEFA Euro 2012
r|Bản mẫu:Country flag alias Tokelau|Bản mẫu:Cờ nước Tokelau
r|Bản mẫu:Infobox football club|Bản mẫu:Tóm tắt câu lạc bộ bóng đá
r|Bản mẫu:Ga đường sắt ASEAN|Bản mẫu:Trạm đường sắt ASEAN
r|Bản mẫu:Infobox earthquake|Bản mẫu:Thông tin động đất
r|Bản mẫu:Cờ nước CHDC Đức|Bản mẫu:Cờ nước Cộng hòa Dân chủ Đức
r|Bản mẫu:Sơ khai địa lý Palestine|Bản mẫu:Palestine-geo-stub
r|Bản mẫu:Infobox animanga/Footer|Bản mẫu:Thông tin animanga/Cuối
r|Bản mẫu:Convert/tAbleImp|Bản mẫu:Convert/LoffAonSoffImp
r|Bản mẫu:Country flag alias Kyrgyzstan|Bản mẫu:Cờ nước Kyrgyzstan
r|Bản mẫu:Infobox economy|Bản mẫu:Infobox Economy
r|Bản mẫu:Campanuloideae-stub|Bản mẫu:Sơ khai Phân họ Hoa chuông
r|Bản mẫu:Convert/LoffAoffDoutput onlySoffNa|Bản mẫu:Convert/LoffAoffDoutput onlySoff
r|Bản mẫu:Infobox Hurricane Small|Bản mẫu:Thông tin bão 3 (nhỏ)
r|Bản mẫu:Advert|Bản mẫu:Bài quảng cáo
r|Bản mẫu:Location map Grenada|Bản mẫu:Bản đồ định vị Grenada
r|Bản mẫu:Clear right|Bản mẫu:Clearright
r|Bản mẫu:Country data DEI|Bản mẫu:Country data Đông Ấn thuộc Hà Lan
r|Bản mẫu:Cite website|Bản mẫu:Chú thích web
r|Bản mẫu:Sơ khai cộng hòa Chad|Bản mẫu:Sơ khai Chad
