wikiStats|et

redirects|443
r|Mall:Muusikute info/doc/type|Mall:Muusikute info/doc/liigitus
r|Mall:Hidden|Mall:Peidetud
r|Mall:Riik/Keenia/lipp|Mall:Riik/Kenya/lipp
r|Mall:Self|Mall:Oma
r|Mall:Navbox Musical artist|Mall:Muusikute navigeerimismall
r|Mall:Infobox Musical artist/doc/type|Mall:Muusikute info/doc/liigitus
r|Mall:Infobox floorball club|Mall:Infokast saalihoki klubi
r|Mall:Muusikaaasta|Mall:Muusika-aasta
r|Mall:Riik/Mõlema Sitsiilia kuningriik|Mall:Riik/Mõlema Sitsiilia kuningriik/lipp
r|Mall:Laiendada|Mall:Pooleli
r|Mall:Middot|Mall:·
r|Mall:Infobox majandusteadlane/doc|Mall:Infokast majandusteadlane/doc
r|Mall:EGY|Mall:Egiptus
r|Mall:Grandi maakond (utah)|Mall:Grandi maakond (Utah)
r|Mall:Olümpiavõitjad meeste 800 meetri jooksus|Mall:Olümpiavõitjad meeste 800 m jooksus
r|Mall:ViiaCommonsisse|Mall:VikiCommonsisse
r|Mall:Infobox Ship Begin|Mall:Laeva infokasti algus
r|Mall:Infobox Album|Mall:Albumi info
r|Mall:Main|Mall:Vaata
r|Mall:Riik/KAV/lipp|Mall:Riik/Kesk-Aafrika Vabariik/lipp
r|Mall:Y|Mall:J
r|Mall:Hääle liigid|Mall:Hääleliigid
r|Mall:Pikemalt artiklis|Mall:Vaata
r|Mall:Coordinate|Mall:Koord
r|Mall:Kasutaja:Andry2109/infobox|Kasutaja:Andry2109/infobox
r|Mall:Babel-4|Mall:Babel
r|Mall:Metsatüübiklassid ja -rühmad|Mall:Metsatüübirühmad
r|Mall:Nobelkeemia|Mall:NobelKeemia
r|Mall:Riik/Nõukogude Liit/lipp|Mall:Riik/NSVL/lipp
r|Mall:Babel-9|Mall:Babel
r|Mall:Ookeaniariigid|Mall:Okeaaniariigid
r|Mall:NVP|Mall:NeutraalsusVaidlustatud
r|Mall:Duplikaat|Mall:DupPilt
r|Mall:Koordinaadid|Mall:Koord
r|Mall:Geokoordinaadid|Mall:Koord
r|Mall:Wikipediasister|Mall:Sõsarprojektid
