wikiStats|fr

redirects|11592
r|Modèle:Utilisateur habite Provence-Alpes-Côte-d’Azur|Modèle:Utilisateur habite Provence-Alpes-Côte d'Azur
r|Modèle:Congo-Kinshasa (1970-1991)|Modèle:République populaire du Congo
r|Modèle:Spam 4|Modèle:Bienvenue spammeur 4
r|Modèle:User et-4|Modèle:Utilisateur et-4
r|Modèle:Portail végétaux|Modèle:Portail botanique
r|Modèle:Palette Jeux olympiques de 1912|Modèle:Palette Jeux olympiques d'été de 1912
r|Modèle:Utilisateur Lisieux|Modèle:Utilisateur habite Lisieux
r|Modèle:User af|Modèle:Utilisateur af
r|Modèle:Utilisateur chercheurfou|Modèle:Utilisateur rêve chercheur
r|Modèle:Maison royale|Modèle:Infobox Maison princière
r|Modèle:Déco OL|Modèle:Déco Compagnon de la Libération
r|Modèle:Portail pirate|Modèle:Portail piraterie
r|Modèle:Portail Football|Modèle:Portail football
r|Modèle:Projet Indonésie|Modèle:Catégorie Indonésie
r|Modèle:Utilisateur Formule 1|Modèle:Utilisateur formule 1
r|Modèle:Population Commune de France|Modèle:Tableau Population Commune
r|Modèle:User yi|Modèle:Utilisateur yi
r|Modèle:Palette Ligue 2 2006-2007|Modèle:Palette Football en France 2006-2007
r|Modèle:Utilisateur Gdańsk|Modèle:Utilisateur habite Gdańsk
r|Modèle:Tdm-earendil-elwing|Modèle:Ascendance d'Elrond
r|Modèle:Wikipédia:Historique|Modèle:Historique Wikipédia
r|Modèle:Bus Optile/Sénart Bus/couleur fond/Documentation|Modèle:Bus Optile/défaut/couleur fond/Documentation
r|Modèle:Offre de parrainage|Modèle:Proposition parrainage
r|Modèle:PRI|Modèle:Porto Rico
r|Modèle:Portail Sciences sociales|Modèle:Portail sciences humaines et sociales
r|Modèle:Déco CCVR|Modèle:Déco Croix du combattant volontaire de la Résistance
r|Modèle:Country data République fédérative socialiste de Yougoslavie|Modèle:Country data Yougoslavie
r|Modèle:Pas à jour|Modèle:Mettre à jour
r|Modèle:À compléter|Modèle:Section vide ou incomplète
r|Modèle:Portail journalisme|Modèle:Portail presse écrite
r|Modèle:NU|Modèle:Nunavut
r|Modèle:Utilisateur Projet/Jeu|Modèle:Utilisateur Projet/Jeux
r|Modèle:Utilisateur Aube|Modèle:Utilisateur habite Aube
r|Modèle:Palette Équipes de l'OFC|Modèle:Équipes de l'OFC
r|Modèle:Palette Ruban d'argent acteur second rôle|Modèle:Palette Ruban d'argent du meilleur acteur dans un second rôle
r|Modèle:Portail Contes|Modèle:Portail contes
r|Modèle:Ébauche/paramètres Ariège-Pyrénées|Modèle:Ébauche/paramètres Ariège
r|Modèle:Ébauche/paramètres parc d'attraction|Modèle:Ébauche/paramètres parc de loisirs
r|Modèle:User io-3|Modèle:Utilisateur io-3
