wikiStats|el

redirects|1161
r|Πρότυπο:Ombox|Πρότυπο:Πλαίσιο μηνύματος
r|Πρότυπο:Ηγη|Πρότυπο:Ημερομηνία γέννησης και ηλικία
r|Πρότυπο:PD-USGov-NASA|Πρότυπο:ΚΚ-ΗΠΑ-NASA
r|Πρότυπο:Convert/C|Πρότυπο:Convert/°C
r|Πρότυπο:Πρότυπο:Sidebar with collapsible lists/row|Πρότυπο:Sidebar with collapsible lists/row
r|Πρότυπο:Ποδοσφαιριστές Α.Ε. Κωνσταντινουπόλεως|Πρότυπο:Ποδοσφαιριστές Α.Ε.Κ.
r|Πρότυπο:Συνοικίες Δήμου Πειραιώς|Πρότυπο:Συνοικίες και περιοχές Δήμου Πειραιώς
r|Πρότυπο:Carton jaune|Πρότυπο:Κίτρινη κάρτα
r|Πρότυπο:S-line/ΟΣΕ right/Στρυμώνας - Προμαχώνας|Πρότυπο:S-line/ΤΡΑΙΝΟΣΕ right/Στρυμώνας - Προμαχώνας
r|Πρότυπο:TOC left|Πρότυπο:Tocleft
r|Πρότυπο:Πλανήτης|Πρότυπο:Κουτί πληροφοριών πλανήτη
r|Πρότυπο:Αγωνιστής Eλληνικής Eπανάστασης-επέκταση|Πρότυπο:Αγωνιστής ελληνικής επανάστασης-επέκταση
r|Πρότυπο:Official website|Πρότυπο:Επίσημη ιστοσελίδα
r|Πρότυπο:Βαβέλ-4|Πρότυπο:Βαβέλ
r|Πρότυπο:Άρθρο|Πρότυπο:Λήμμα
r|Πρότυπο:ΟΣΕ color|Πρότυπο:ΤΡΑΙΝΟΣΕ color
r|Πρότυπο:GHS05|Πρότυπο:GHS corrosion
r|Πρότυπο:User el-1|Πρότυπο:Χρήστης el-1
r|Πρότυπο:Quote box|Πρότυπο:Πλαισιωμένο παράθεμα
r|Πρότυπο:Infobox Band|Πρότυπο:Πληροφορίες μουσικού
r|Πρότυπο:Infobox Πρωτάθλημα πετοσφαίρισης|Πρότυπο:Κουτί πληροφοριών αθλητικής διοργάνωσης
r|Πρότυπο:HON|Πρότυπο:HND
r|Πρότυπο:SPA|Πρότυπο:ESP
r|Πρότυπο:Κουτί πληροφοριών μονάρχη|Πρότυπο:Πλαίσιο πληροφοριών μονάρχη
r|Πρότυπο:Citenews|Πρότυπο:Cite news
r|Πρότυπο:Merge|Πρότυπο:Συγχώνευση
r|Πρότυπο:Logo|Πρότυπο:Σήμα
r|Πρότυπο:Χριστιανοδημοκρατική Ένωση (Γερμανία)/meta/color|Πρότυπο:Christian Democratic Union (Germany)/meta/color
r|Πρότυπο:Οικουμενική σύνοδος|Πρότυπο:Κουτί πληροφοριών Οικουμενικής συνόδου
r|Πρότυπο:Sm1|Πρότυπο:Sm
r|Πρότυπο:Ταξονομοπλαίσιο-Χρώμα|Πρότυπο:Ταξινομοπλαίσιο-Χρώμα
r|Πρότυπο:Σύστημα του Γκλιζ 581|Πρότυπο:Σύστημα του Γκλίζε 581
r|Πρότυπο:Sjablooninfo|Πρότυπο:Informative template
r|Πρότυπο:User es-2|Πρότυπο:Χρήστης es-2
r|Πρότυπο:Γεωγραφική διαίρεση της Ελλάδας|Πρότυπο:Γεωγραφικά διαμερίσματα της Ελλάδας
r|Πρότυπο:Michael Jackson singles|Πρότυπο:Δισκογραφία του Μάικλ Τζάκσον
r|Πρότυπο:User pt-1|Πρότυπο:Χρήστης pt-1
r|Πρότυπο:Κιν-επέκταση|Πρότυπο:Κινηματογράφος-επέκταση
r|Πρότυπο:Σατουπα'ιτέα|Πρότυπο:Σατουπάιτεα
